userId,fieldId,fieldName,fieldVaule
967bdf2610ea88686655a7ffc477e785192c3839fcbda04a0287b6450eb96412,9,education,5
967bdf2610ea88686655a7ffc477e785192c3839fcbda04a0287b6450eb96412,10,bfi2,1
1b295c38007ff2c175faa1b54e7a87d1f6812c74e5f62d35e383a489ab5c3276,1,STORAGE,0
1b295c38007ff2c175faa1b54e7a87d1f6812c74e5f62d35e383a489ab5c3276,2,LOCATION,0
1b295c38007ff2c175faa1b54e7a87d1f6812c74e5f62d35e383a489ab5c3276,3,CALL_LOG,0
1b295c38007ff2c175faa1b54e7a87d1f6812c74e5f62d35e383a489ab5c3276,4,APP_USAGE,0
1b295c38007ff2c175faa1b54e7a87d1f6812c74e5f62d35e383a489ab5c3276,5,NOTIFICATION,0
1b295c38007ff2c175faa1b54e7a87d1f6812c74e5f62d35e383a489ab5c3276,6,general,1
1b295c38007ff2c175faa1b54e7a87d1f6812c74e5f62d35e383a489ab5c3276,7,gender,1
1b295c38007ff2c175faa1b54e7a87d1f6812c74e5f62d35e383a489ab5c3276,8,age,20
1b295c38007ff2c175faa1b54e7a87d1f6812c74e5f62d35e383a489ab5c3276,9,education,3
1b295c38007ff2c175faa1b54e7a87d1f6812c74e5f62d35e383a489ab5c3276,10,bfi2,1
ef2a5271848d450cd2ab95a8bb78310535c3541eb53d713b8ae6e77c90b92770,1,STORAGE,1
ef2a5271848d450cd2ab95a8bb78310535c3541eb53d713b8ae6e77c90b92770,2,LOCATION,1
ef2a5271848d450cd2ab95a8bb78310535c3541eb53d713b8ae6e77c90b92770,3,CALL_LOG,1
ef2a5271848d450cd2ab95a8bb78310535c3541eb53d713b8ae6e77c90b92770,4,APP_USAGE,1
ef2a5271848d450cd2ab95a8bb78310535c3541eb53d713b8ae6e77c90b92770,5,NOTIFICATION,1
ef2a5271848d450cd2ab95a8bb78310535c3541eb53d713b8ae6e77c90b92770,6,general,0
ef2a5271848d450cd2ab95a8bb78310535c3541eb53d713b8ae6e77c90b92770,7,gender,
ef2a5271848d450cd2ab95a8bb78310535c3541eb53d713b8ae6e77c90b92770,8,age,
ef2a5271848d450cd2ab95a8bb78310535c3541eb53d713b8ae6e77c90b92770,9,education,
ef2a5271848d450cd2ab95a8bb78310535c3541eb53d713b8ae6e77c90b92770,10,bfi2,0
c1baf385e7ef4af5c596c26332ef0a90de68f6ff26c4fcec2b73319871794977,1,STORAGE,0
c1baf385e7ef4af5c596c26332ef0a90de68f6ff26c4fcec2b73319871794977,2,LOCATION,0
c1baf385e7ef4af5c596c26332ef0a90de68f6ff26c4fcec2b73319871794977,3,CALL_LOG,0
c1baf385e7ef4af5c596c26332ef0a90de68f6ff26c4fcec2b73319871794977,4,APP_USAGE,0
c1baf385e7ef4af5c596c26332ef0a90de68f6ff26c4fcec2b73319871794977,5,NOTIFICATION,0
c1baf385e7ef4af5c596c26332ef0a90de68f6ff26c4fcec2b73319871794977,6,general,0
c1baf385e7ef4af5c596c26332ef0a90de68f6ff26c4fcec2b73319871794977,7,gender,
c1baf385e7ef4af5c596c26332ef0a90de68f6ff26c4fcec2b73319871794977,8,age,
c1baf385e7ef4af5c596c26332ef0a90de68f6ff26c4fcec2b73319871794977,9,education,
c1baf385e7ef4af5c596c26332ef0a90de68f6ff26c4fcec2b73319871794977,10,bfi2,0
86a8b3b79cfe10f580e211f7cd7f88a847123aee3f8230bbd496c838b3c0099d,1,STORAGE,0
86a8b3b79cfe10f580e211f7cd7f88a847123aee3f8230bbd496c838b3c0099d,2,LOCATION,1
86a8b3b79cfe10f580e211f7cd7f88a847123aee3f8230bbd496c838b3c0099d,3,CALL_LOG,1
86a8b3b79cfe10f580e211f7cd7f88a847123aee3f8230bbd496c838b3c0099d,4,APP_USAGE,1
86a8b3b79cfe10f580e211f7cd7f88a847123aee3f8230bbd496c838b3c0099d,5,NOTIFICATION,1
86a8b3b79cfe10f580e211f7cd7f88a847123aee3f8230bbd496c838b3c0099d,6,general,1
86a8b3b79cfe10f580e211f7cd7f88a847123aee3f8230bbd496c838b3c0099d,7,gender,1
86a8b3b79cfe10f580e211f7cd7f88a847123aee3f8230bbd496c838b3c0099d,8,age,36
86a8b3b79cfe10f580e211f7cd7f88a847123aee3f8230bbd496c838b3c0099d,9,education,6
86a8b3b79cfe10f580e211f7cd7f88a847123aee3f8230bbd496c838b3c0099d,10,bfi2,1
d07d7e05c96a21c7d5447b1833ad770f889f3b94e53dc0c7635c8134c4f257ac,1,STORAGE,0
d07d7e05c96a21c7d5447b1833ad770f889f3b94e53dc0c7635c8134c4f257ac,2,LOCATION,0
d07d7e05c96a21c7d5447b1833ad770f889f3b94e53dc0c7635c8134c4f257ac,3,CALL_LOG,0
d07d7e05c96a21c7d5447b1833ad770f889f3b94e53dc0c7635c8134c4f257ac,4,APP_USAGE,0
d07d7e05c96a21c7d5447b1833ad770f889f3b94e53dc0c7635c8134c4f257ac,5,NOTIFICATION,0
d07d7e05c96a21c7d5447b1833ad770f889f3b94e53dc0c7635c8134c4f257ac,6,general,1
d07d7e05c96a21c7d5447b1833ad770f889f3b94e53dc0c7635c8134c4f257ac,7,gender,0
d07d7e05c96a21c7d5447b1833ad770f889f3b94e53dc0c7635c8134c4f257ac,8,age,20
d07d7e05c96a21c7d5447b1833ad770f889f3b94e53dc0c7635c8134c4f257ac,9,education,0
d07d7e05c96a21c7d5447b1833ad770f889f3b94e53dc0c7635c8134c4f257ac,10,bfi2,0
4736aaed615dd3dcd81241f2b01b10d5f6bd69cca0fe2dd6bd9dd6fe9dc48b29,1,STORAGE,0
4736aaed615dd3dcd81241f2b01b10d5f6bd69cca0fe2dd6bd9dd6fe9dc48b29,2,LOCATION,1
4736aaed615dd3dcd81241f2b01b10d5f6bd69cca0fe2dd6bd9dd6fe9dc48b29,3,CALL_LOG,0
4736aaed615dd3dcd81241f2b01b10d5f6bd69cca0fe2dd6bd9dd6fe9dc48b29,4,APP_USAGE,1
4736aaed615dd3dcd81241f2b01b10d5f6bd69cca0fe2dd6bd9dd6fe9dc48b29,5,NOTIFICATION,1
4736aaed615dd3dcd81241f2b01b10d5f6bd69cca0fe2dd6bd9dd6fe9dc48b29,6,general,0
4736aaed615dd3dcd81241f2b01b10d5f6bd69cca0fe2dd6bd9dd6fe9dc48b29,7,gender,
4736aaed615dd3dcd81241f2b01b10d5f6bd69cca0fe2dd6bd9dd6fe9dc48b29,8,age,
4736aaed615dd3dcd81241f2b01b10d5f6bd69cca0fe2dd6bd9dd6fe9dc48b29,9,education,
4736aaed615dd3dcd81241f2b01b10d5f6bd69cca0fe2dd6bd9dd6fe9dc48b29,10,bfi2,0
17e4401c77d5d8632168252c5a2b9cdc3fb1623599f4d90a739376cdf517d085,1,STORAGE,0
